,Emp_ID,Emp_name,PayDate,Description,Hours,Amount
15,001HALEA,Alex Hales,21-03-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Uniforms - Reducing Balance', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['35.5', '0', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['543.1', '543.1', '-47', '-11', '485.1', '51.59', nan, nan, nan, 'Page 3 of 553', nan, nan, nan, nan, 'Amount']"
16,001HALEA,Alex Hales,28-03-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Uniforms - Reducing Balance', 'Net Pay', 'Superannuation']","['32', '0', '0', '0', '0', '0']","['529.08', '529.08', '-44', '-11', '474.08', '50.26']"
17,001HALEA,Alex Hales,04-04-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Uniforms - Reducing Balance', 'Net Pay', 'Superannuation']","['33.25', '0', '0', '0', '0', '0']","['593.47', '593.47', '-57', '-11', '525.47', '56.38']"
18,001HALEA,Alex Hales,11-04-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['41.5', '0', '0', '0', '0']","['740.71', '740.71', '-92', '648.71', '70.37']"
19,001HALEA,Alex Hales,18-04-83,"['Normal Hours', 'Public Holiday - worked', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['16.5', '8.5', '0', '0', '0', '0']","['294.5', '379.28', '673.78', '-74', '599.78', '64.01']"
20,001HALEA,Alex Hales,25-04-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['41.75', '0', '0', '0', '0']","['745.17', '745.17', '-94', '651.17', '70.79']"
21,001HALEA,Alex Hales,02-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay']","['25', '0', '0', '0']","['446.21', '446.21', '-21', '425.21']"
22,001HALEA,Alex Hales,09-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['34', '0', '0', '0', '0']","['606.85', '606.85', '-60', '546.85', '100.04']"
23,001HALEA,Alex Hales,16-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['34', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['606.85', '606.85', '-60', '546.85', '57.65', nan, nan, nan, 'Page 4 of 553', nan, nan, nan, nan, 'Amount']"
24,001HALEA,Alex Hales,23-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['14.5', '0', '0', '0', '0']","['258.8', '258.8', '0', '258.8', '24.59']"
25,001HALEA,Alex Hales,30-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['25', '0', '0', '0', '0']","['446.21', '446.21', '-21', '425.21', '42.39']"
26,001HALEA,Alex Hales,Employee Total,"['Normal Hours', 'Time/Half Hours', 'Public Holiday - worked', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Reimburse expenses', 'Uniforms - Reducing Balance', 'Net Pay', 'Superannuation']","['852', '5.5', '23.5', '0', '0', '0', '0', '0', '0']","['13750.97', '126.21', '952.98', '14830.16', '-1409', '50', '-33', '13438.16', '1363.42']"
0,002ROOTJ,Joe Root,16-04-85,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['46', '0', '0', '0', '0']","['1003.22', '1003.22', '-85', '918.22', '95.3']"
1,002ROOTJ,Joe Root,23-04-85,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['19.5', '0', '0', '0', '0']","['425.27', '425.27', '-14', '411.27', '40.4']"
2,002ROOTJ,Joe Root,30-04-85,"['Normal Hours', 'Sat Casual Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['30', '8.5', '0', '0', '0', '0']","['654.27', '14.83', '669.1', '-73', '596.1', '63.56']"
3,002ROOTJ,Joe Root,07-05-85,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay']","['4', '0', '0', '0']","['87.24', '87.24', '0', '87.24']"
4,002ROOTJ,Joe Root,Employee Total,"['Normal Hours', 'Sat Casual Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['99.5', '8.5', '0', '0', '0', '0']","['2170', '14.83', '2184.83', '-172', '2012.83', '199.26']"
0,003WARND,David Warner,05-07-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['792.31', '792.31', '-110', '682.31', '75.27']"
1,003WARND,David Warner,12-07-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['792.31', '792.31', '-110', '682.31', '75.27']"
2,003WARND,David Warner,19-07-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['792.31', '792.31', '-110', '682.31', '75.27']"
3,003WARND,David Warner,26-07-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['792.31', '792.31', '-110', '682.31', '75.27']"
4,003WARND,David Warner,02-08-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['792.31', '792.31', '-110', '682.31', '75.27']"
5,003WARND,David Warner,09-08-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['792.31', '792.31', '-110', '682.31', '75.27']"
6,003WARND,David Warner,16-08-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
7,003WARND,David Warner,23-08-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['40', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['846.16', '846.16', '-129', '717.16', '80.39', nan, nan, nan, 'Page 7 of 553', nan, nan, nan, nan, 'Amount']"
8,003WARND,David Warner,30-08-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
9,003WARND,David Warner,06-09-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
10,003WARND,David Warner,13-09-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
11,003WARND,David Warner,20-09-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
12,003WARND,David Warner,27-09-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
13,003WARND,David Warner,04-10-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
14,003WARND,David Warner,11-10-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Reimburse expenses', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0', '0']","['846.16', '846.16', '-129', '76.5', '793.66', '80.39']"
15,003WARND,David Warner,18-10-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['40', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['846.16', '846.16', '-129', '717.16', '80.39', nan, nan, nan, 'Page 8 of 553', nan, nan, nan, nan, 'Amount']"
16,003WARND,David Warner,25-10-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
17,003WARND,David Warner,01-11-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
18,003WARND,David Warner,08-11-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
19,003WARND,David Warner,15-11-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
20,003WARND,David Warner,22-11-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
21,003WARND,David Warner,29-11-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
22,003WARND,David Warner,06-12-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
23,003WARND,David Warner,13-12-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['40', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['846.16', '846.16', '-129', '717.16', '80.39', nan, nan, nan, 'Page 9 of 553', nan, nan, nan, nan, 'Amount']"
24,003WARND,David Warner,20-12-82,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
25,003WARND,David Warner,27-12-82,"['Normal Hours', 'Other Leave - Public Holiday', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['32', '8', '0', '0', '0', '0']","['676.92', '169.23', '846.15', '-129', '717.15', '80.38']"
26,003WARND,David Warner,03-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
27,003WARND,David Warner,10-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
28,003WARND,David Warner,17-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
29,003WARND,David Warner,24-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
30,003WARND,David Warner,31-01-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
31,003WARND,David Warner,07-02-83,"['Normal Hours', 'Annual Leave', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['23.5', '16.5', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['497.12', '349.04', '846.16', '-129', '717.16', '80.39', nan, nan, nan, 'Page 10 of 553', nan, nan, nan, nan, 'Amount']"
32,003WARND,David Warner,14-02-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
33,003WARND,David Warner,21-02-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
34,003WARND,David Warner,28-02-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
35,003WARND,David Warner,07-03-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
36,003WARND,David Warner,14-03-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
37,003WARND,David Warner,21-03-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
38,003WARND,David Warner,28-03-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
39,003WARND,David Warner,04-04-83,"['Normal Hours', 'Sick Leave', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['30', '10', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['634.62', '211.54', '846.16', '-129', '717.16', '80.39', nan, nan, nan, 'Page 11 of 553', nan, nan, nan, nan, 'Amount']"
40,003WARND,David Warner,11-04-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Reimburse expenses', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0', '0']","['846.16', '846.16', '-129', '14.95', '732.11', '80.39']"
41,003WARND,David Warner,18-04-83,"['Normal Hours', 'Other Leave - Public Holiday', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['32', '8', '0', '0', '0', '0']","['676.92', '169.23', '846.15', '-129', '717.15', '80.38']"
42,003WARND,David Warner,25-04-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
43,003WARND,David Warner,02-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
44,003WARND,David Warner,09-05-83,"['Normal Hours', 'Sick Leave', 'Annual Leave', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['32.5', '7.5', '40', '0', '0', '0', '0']","['687.5', '158.65', '846.16', '1692.31', '-444', '1248.31', '160.77']"
45,003WARND,David Warner,16-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.15', '846.15', '-129', '717.15', '80.38']"
46,003WARND,David Warner,23-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['40', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['846.16', '846.16', '-129', '717.16', '80.39', nan, nan, nan, 'Page 12 of 553', nan, nan, nan, nan, 'Amount']"
47,003WARND,David Warner,30-05-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
48,003WARND,David Warner,06-06-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
49,003WARND,David Warner,13-06-83,"['Normal Hours', 'Other Leave - Birthday', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['32', '8', '0', '0', '0', '0']","['676.92', '169.23', '846.15', '-129', '717.15', '80.38']"
50,003WARND,David Warner,20-06-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
51,003WARND,David Warner,27-06-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
52,003WARND,David Warner,04-07-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['40', '0', '0', '0', '0']","['846.16', '846.16', '-129', '717.16', '80.39']"
53,003WARND,David Warner,11-07-83,"['Normal Hours', 'Sick Leave', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['28', '12', '0', '0', '0', '0']","['592.31', '253.85', '846.16', '-129', '717.16', '80.39']"
54,003WARND,David Warner,18-07-83,"['Normal Hours', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['40', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['846.16', '846.16', '-129', '717.16', '80.39', nan, nan, nan, 'Page 13 of 553', nan, nan, nan, nan, 'Amount']"
55,003WARND,David Warner,25-07-83,"['Normal Hours', 'Term AL Gross', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Account Payment', 'Net Pay', 'Superannuation']","['40', '196.83', '0', '0', '0', '0', '0']","['846.16', '4163.72', '5009.88', '-1585', '-1478.66', '1946.22', '80.39']"
56,003WARND,David Warner,Employee Total,"['Normal Hours', 'Sick Leave', 'Annual Leave', 'Other Leave - Birthday', 'Other Leave - Public Holiday', 'Term AL Gross', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Reimburse expenses', 'Account Payment', 'Net Pay', 'Superannuation']","['2170', '29.5', '56.5', '8', '16', '196.83', '0', '0', '0', '0', '0', '0']","['45581.04', '624.04', '1195.2', '169.23', '338.46', '4163.72', '52071.69', '-8881', '91.45', '-1478.66', '41803.48', '4551.46']"
0,004ALBEK,Kristin Albert,05-07-82,"['Normal Hours', '60% Sun Perm Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['28.5', '7.5', '0', '0', '0', '0']","['567.73', '89.64', '657.37', '-71', '586.37', '62.45']"
1,004ALBEK,Kristin Albert,12-07-82,"['Normal Hours', '60% Sun Perm Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Reimburse expenses', 'Net Pay', 'Superannuation']","['29', '7.5', '0', '0', '0', '0', '0']","['591.55', '91.79', '683.34', '-76', '50', '657.34', '64.92']"
2,004ALBEK,Kristin Albert,19-07-82,"['Normal Hours', 'Sick Leave', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['21', '7.5', '0', '0', '0', '0']","['428.36', '152.99', '581.35', '-55', '526.35', '55.23']"
3,004ALBEK,Kristin Albert,26-07-82,"['Normal Hours', '60% Sun Perm Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['28.5', '7.5', '0', '0', '0', '0']","['581.35', '91.79', '673.14', '-74', '599.14', '63.95']"
4,004ALBEK,Kristin Albert,02-08-82,"['Normal Hours', 'Annual Leave', '60% Sun Perm Ldg', 'Leave Loading 17.5%', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['25.5', '3', '4.5', '0', '0', '0', '0', '0']","['520.16', '61.19', '55.08', '10.71', '647.14', '-69', '578.14', '60.46']"
5,004ALBEK,Kristin Albert,09-08-82,"['Normal Hours', '60% Sun Perm Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation', nan, 'Employee Previous Earnings', 'Shahzeb AnsariPTY LTD', nan, nan, nan, nan, nan, 'Description']","['28.5', '7.5', '0', '0', '0', '0', nan, nan, nan, nan, nan, nan, nan, nan, 'Hours']","['581.35', '91.79', '673.14', '-74', '599.14', '63.95', nan, nan, nan, 'Page 15 of 553', nan, nan, nan, nan, 'Amount']"
6,004ALBEK,Kristin Albert,16-08-82,"['Normal Hours', '60% Sun Perm Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['28.5', '7.5', '0', '0', '0', '0']","['581.35', '91.79', '673.14', '-74', '599.14', '63.95']"
7,004ALBEK,Kristin Albert,23-08-82,"['Normal Hours', '60% Sun Perm Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['28.5', '7.5', '0', '0', '0', '0']","['581.35', '91.79', '673.14', '-74', '599.14', '63.95']"
8,004ALBEK,Kristin Albert,30-08-82,"['Normal Hours', 'Annual Leave', '60% Sun Perm Ldg', 'Leave Loading 17.5%', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['14.5', '14', '7.5', '0', '0', '0', '0', '0']","['295.78', '285.58', '91.79', '49.98', '723.13', '-86', '637.13', '63.95']"
9,004ALBEK,Kristin Albert,06-09-82,"['Normal Hours', 'Sick Leave', 'Annual Leave', '60% Sun Perm Ldg', 'Leave Loading 17.5%', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['14.5', '7', '7', '7.5', '0', '0', '0', '0', '0']","['295.78', '142.79', '142.79', '91.79', '24.99', '698.14', '-79', '619.14', '63.95']"
10,004ALBEK,Kristin Albert,13-09-82,"['Normal Hours', '60% Sun Perm Ldg', 'Gross Taxable Total', 'Tax (Incl Adjust)', 'Net Pay', 'Superannuation']","['28.5', '7.5', '0', '0', '0', '0']","['581.35', '91.79', '673.14', '-74', '599.14', '63.95']"
